Region,Province,Municipality/City,Poverty Incidence,Standard Error (SE),Coefficient of Variation (CV)
NCR,1st district,Tondo,2.9,0.8,27.5
NCR,1st district,Binondo,1,0.7,68
NCR,1st district,Quiapo,2.1,0.9,42.4
NCR,1st district,San Nicolas,2.4,1.4,57
NCR,1st district,Santa Cruz,1.7,0.5,32.5
NCR,1st district,Sampaloc,1.3,0.3,23.6
NCR,1st district,San Miguel,1.4,0.9,67.4
NCR,1st district,Ermita,1.5,1,68.7
NCR,1st district,Intramuros,2.5,1.2,48
NCR,1st district,Malate,1.8,0.5,29.1
NCR,1st district,Paco,1.8,0.6,31.3
NCR,1st district,Pandacan,1.9,0.6,33
NCR,1st district,Port Area,11.9,6.8,57.5
NCR,1st district,Santa Ana,2.2,0.6,29
