Region,Province,Municipality/City,Poverty Incidence,Standard Error (SE),Coefficient of Variation (CV)
Region I,Ilocos Norte,Adams,13.2,1.1,8.5
Region I,Ilocos Norte,Bacarra,19.6,2.3,11.7
Region I,Ilocos Norte,Badoc,12.6,1.4,11.3
Region I,Ilocos Norte,Bangui,15.3,2.1,13.6
Region I,Ilocos Norte,Batac,16.8,1.6,9.6
Region I,Ilocos Norte,Burgos,22.6,5.3,23.5
Region I,Ilocos Norte,Carasi,15.2,1.3,8.7
Region I,Ilocos Norte,Currimao,16.3,2.1,13.1
Region I,Ilocos Norte,Dingras,26.9,2.6,9.8
Region I,Ilocos Norte,Dumalneg,21.6,5.7,26.3
Region I,Ilocos Norte,Banna,17.8,2.2,12.2
Region I,Ilocos Norte,Laoag City,9.9,0.8,8.2
Region I,Ilocos Norte,Marcos,18.7,2,10.9
Region I,Ilocos Norte,Nueva Era,24.9,2.7,10.7
Region I,Ilocos Norte,Pagudpud,20.2,1.3,6.3
Region I,Ilocos Norte,Paoay,14.9,1.2,7.9
Region I,Ilocos Norte,Pasuquin,14.1,1.6,11.4
Region I,Ilocos Norte,Piddig,16.3,2.6,16.1
Region I,Ilocos Norte,Pinili,17.6,2.3,13
Region I,Ilocos Norte,San Nicolas,12.3,1.1,9.2
Region I,Ilocos Norte,Sarrat,14,1.9,13.5
Region I,Ilocos Norte,Solsona,15,1.3,8.7
Region I,Ilocos Norte,Vintar,16.8,2,12
