Region,Province,Municipality/City,Poverty Incidence,Standard Error (SE),Coefficient of Variation (CV)
Region III,Bataan,Abucay,7,2.1,29.5
Region III,Bataan,Bagac,19.7,3.3,16.8
Region III,Bataan,City of Balanga,5.9,1.2,21.1
Region III,Bataan,Dinalupihan,11.7,1.9,16.2
Region III,Bataan,Hermosa,12.6,2,16
Region III,Bataan,Limay,7.4,2.4,32.5
Region III,Bataan,Mariveles,7.2,1.8,24.7
Region III,Bataan,Morong,20.8,4.8,22.9
Region III,Bataan,Orani,10.4,1.8,17.6
Region III,Bataan,Orion,9.5,1.8,19
Region III,Bataan,Pilar,8.9,2,23
