Region,Province,Municipality/City,Poverty Incidence,Standard Error (SE),Coefficient of Variation (CV)
NCR,1st district,Tondo,2.9,0.8,27.5
NCR,1st district,Binondo,1.0,0.7,68.0
NCR,1st district,Quiapo,2.1,0.9,42.4
NCR,1st district,San Nicolas,2.4,1.4,57.0
NCR,1st district,Santa Cruz,1.7,0.5,32.5
NCR,1st district,Sampaloc,1.3,0.3,23.6
NCR,1st district,San Miguel,1.4,0.9,67.4
NCR,1st district,Ermita,1.5,1.0,68.7
NCR,1st district,Intramuros,2.5,1.2,48.0
NCR,1st district,Malate,1.8,0.5,29.1
NCR,1st district,Paco,1.8,0.6,31.3
NCR,1st district,Pandacan,1.9,0.6,33.0
NCR,1st district,Port Area,11.9,6.8,57.5
NCR,1st district,Santa Ana,2.2,0.6,29.0
NCR,2nd district,Mandaluyong  City,1.8,0.8,45.1
NCR,2nd district,Marikina  City,2.2,0.9,41.1
NCR,2nd district,Pasig City,2.2,0.8,37.3
NCR,2nd district,Quezon City,2.4,0.6,25.3
NCR,2nd district,San Juan,1.5,0.6,42.5
NCR,3rd district,Kalookan City,3.1,0.9,28.2
NCR,3rd district,Malabon,4.0,1.7,41.4
NCR,3rd district,Navotas,3.8,1.8,48.4
NCR,3rd district,Valenzuela  City,3.7,1.3,33.4
NCR,4th district,Las Piñas  City,2.8,1.0,37.8
NCR,4th district,Makati  City,1.4,0.6,42.3
NCR,4th district,Muntinlupa  City,2.4,1.2,49.6
NCR,4th district,Parañaque  City,2.3,1.0,41.9
NCR,4th district,Pasay City,1.7,0.5,26.4
NCR,4th district,Pateros,3.0,1.9,64.9
NCR,4th district,Taguig,2.7,1.1,41.5
CAR,Abra,Bangued,16.8,2.1,12.7
CAR,Abra,Boliney,50.6,9.5,18.9
CAR,Abra,Bucay,36.2,5.8,16.1
CAR,Abra,Bucloc,77.2,10.1,13.0
CAR,Abra,Daguioman,32.2,8.8,27.3
CAR,Abra,Danglas,32.0,7.3,22.8
CAR,Abra,Dolores,33.5,5.0,15.0
CAR,Abra,La Paz,36.0,5.4,14.9
CAR,Abra,Lacub,67.2,9.5,14.2
CAR,Abra,Lagangilang,27.5,4.5,16.5
CAR,Abra,Lagayan,41.4,7.8,18.8
CAR,Abra,Langiden,46.0,8.1,17.6
CAR,Abra,Licuan-Baay (Licuan),46.7,8.4,18.0
CAR,Abra,Luba,36.2,6.7,18.5
CAR,Abra,Malibcong,55.6,8.8,15.8
CAR,Abra,Manabo,34.9,6.9,19.8
CAR,Abra,Peñarrubia,35.7,7.0,19.6
CAR,Abra,Pidigan,25.9,4.9,18.9
CAR,Abra,Pilar,42.8,6.2,14.4
CAR,Abra,Sallapadan,62.0,8.2,13.2
CAR,Abra,San Isidro,42.3,6.7,15.9
CAR,Abra,San Juan,33.7,6.6,19.7
CAR,Abra,San Quintin,28.7,6.7,23.3
CAR,Abra,Tayum,23.7,4.4,18.7
CAR,Abra,Tineg,43.2,8.6,19.9
CAR,Abra,Tubo,56.4,9.4,16.6
CAR,Abra,Villaviciosa,49.1,7.7,15.7
CAR,Benguet,Atok,39.7,9.9,24.9
CAR,Benguet,Baguio City,2.4,0.8,31.3
CAR,Benguet,Bakun,53.7,9.6,17.9
CAR,Benguet,Bokod,21.5,4.8,22.4
CAR,Benguet,Buguias,42.0,8.1,19.2
CAR,Benguet,Itogon,8.9,2.6,29.0
CAR,Benguet,Kabayan,58.6,7.3,12.5
CAR,Benguet,Kapangan,37.7,6.6,17.5
CAR,Benguet,Kibungan,67.9,11.3,16.7
CAR,Benguet,La Trinidad,5.4,1.5,27.3
CAR,Benguet,Mankayan,16.5,4.3,26.2
CAR,Benguet,Sablan,19.3,5.4,27.7
CAR,Benguet,Tuba,14.2,3.2,22.7
CAR,Benguet,Tublay,30.4,6.9,22.7
CAR,Ifugao,Banaue,20.9,3.4,16.3
CAR,Ifugao,Hungduan,29.9,5.8,19.3
CAR,Ifugao,Kiangan,22.9,5.0,21.9
CAR,Ifugao,Lagawe,19.9,3.5,17.4
CAR,Ifugao,Lamut,18.2,3.3,18.3
CAR,Ifugao,Mayoyao,34.1,4.1,11.9
CAR,Ifugao,Alfonso Lista (Potia),37.1,4.5,12.2
CAR,Ifugao,Aguinaldo,33.2,6.0,18.1
CAR,Ifugao,Hingyon,25.2,5.7,22.7
